Samsung QE43Q60R,4799,2019-09-13 22:50:27.619216
Samsung UE43RU7105,3695,2019-09-13 22:50:28.354565
Samsung UE43RU7415,4499,2019-09-13 22:50:28.108032
Samsung UE43RU7475,4999,2019-09-13 22:50:27.850993
Samsung QE43Q60R,4799,2019-09-13 22:50:34.245873,0
Samsung UE43RU7105,3695,2019-09-13 22:50:34.971474,0
Samsung UE43RU7415,4499,2019-09-13 22:50:34.721738,0
Samsung UE43RU7475,4999,2019-09-13 22:50:34.466713,0
Samsung QE43Q60R,5500,2019-09-13 22:50:59.778760,0
Samsung UE43RU7105,3695,2019-09-13 22:51:00.417307,0
Samsung UE43RU7415,4499,2019-09-13 22:51:00.211887,0
Samsung UE43RU7475,4999,2019-09-13 22:50:59.979585,0
Samsung QE43Q60R,5500,2019-09-13 22:54:44.913283,701,12.74545454545455
Samsung UE43RU7105,3695,2019-09-13 22:54:45.591194,0,0.0
Samsung UE43RU7415,4499,2019-09-13 22:54:45.369590,0,0.0
Samsung UE43RU7475,4999,2019-09-13 22:54:45.108517,0,0.0
Samsung QE43Q60R,4799,2019-09-13 22:58:25.853017,701,12.75
Samsung UE43RU7105,3695,2019-09-13 22:58:26.558481,0,0.0
Samsung UE43RU7415,4499,2019-09-13 22:58:26.297476,0,0.0
Samsung UE43RU7475,4999,2019-09-13 22:58:26.058922,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:05:05.847561,0,0.0
Samsung UE43RU7105,3695,2019-09-13 23:05:06.551558,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:05:06.286033,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:05:06.044985,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:06:31.298294,701,12.75
Samsung UE43RU7105,3695,2019-09-13 23:06:32.095681,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:06:31.853310,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:06:31.531990,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:16:26.575177,0,0.0
Samsung UE43RU7105,3695,2019-09-13 23:16:27.330608,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:16:27.100642,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:16:26.793067,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:16:32.522060,0,0.0
Samsung UE43RU7105,3695,2019-09-13 23:16:33.159502,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:16:32.962033,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:16:32.732052,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:16:38.452691,0,0.0
Samsung UE43RU7105,3695,2019-09-13 23:16:39.097045,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:16:38.893344,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:16:38.650692,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:16:44.504634,0,0.0
Samsung UE43RU7105,3695,2019-09-13 23:16:45.177909,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:16:44.986660,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:16:44.732270,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:16:50.684757,0,0.0
Samsung UE43RU7105,3695,2019-09-13 23:16:51.348307,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:16:51.122065,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:16:50.862123,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:17:00.473438,0,0.0
Samsung UE43RU7105,3695,2019-09-13 23:17:01.095857,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:17:00.899697,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:17:00.659352,0,0.0
Samsung QE43Q60R,4799,2019-09-13 23:17:10.482566,0,0.0
Samsung UE43RU7105,3695,2019-09-13 23:17:11.214107,0,0.0
Samsung UE43RU7415,4499,2019-09-13 23:17:10.916394,0,0.0
Samsung UE43RU7475,4999,2019-09-13 23:17:10.681864,0,0.0
