IC 189,00:46,Aarhus H,Odense St.
Re 189,00:46,Aarhus H,Odense St.
IC 401,02:31,Hobro St.,Odense St.
IC 488,02:36,CPH Lufthavn,Odense St.
Re 4100,03:56,Østerport St.,Odense St.
IC 409,04:31,Hobro St.,Odense St.
IC 54802,04:56,København H,Odense St.
Re 2609,04:59,Ringe St.,Odense St.
ICL 911,05:10,Sønderborg St.,Odense St.
Re 4609,05:13,Svendborg St.,Odense St.
Bus 21,05:14,Ubberud,OBC Syd Plads C 
Bus 80,05:15,OBC Syd,OBC Syd Plads D 
Bus 111,05:20,Faaborg,OBC Nord Plads I 
Bus 151,05:20,Kerteminde,OBC Syd Plads B 
Bus 151,05:20,Assens,OBC Syd Plads C 
Bus 191,05:20,Bogense,OBC Nord Plads H 
Bus 21,05:20,Tornbjerg,OBC Syd Plads B 
Bus 31,05:20,Sanderum,OBC Syd Plads D 
Bus 41,05:20,Universitetet,OBC Syd Plads A 
Bus 41,05:20,Bolbro,OBC Syd Plads D 
